Index,opt,timeOpt,locOpt,catOpt,modelOpt,n_layers,n_units_layer_0,n_units_layer_1,n_units_layer_2,n_units_layer_3,lrate,nEpoch,dropout_prob,weight_decay,obj
157,7,1dpos,2dpos,onehot,NN,1,512,,,,0.025643985,500,0.383225309,5.34E-05,0.462908314
158,7,1dpos,polar,onehot,NN,2,128,256,,,0.003996145,500,0.41124018,0.000613128,0.521113598
159,7,1dpos,elliptic,onehot,NN,3,64,128,128,,0.012982223,200,0.22741792,0.000429091,0.511568799
160,8,raw,raw,onehot,NN,2,128,64,,,0.017639075,500,0.276338426,0.00022683,0.622083259
161,8,raw,zone,onehot,NN,2,64,64,,,0.007422319,500,0.26923778,0.001735178,0.618043291
162,8,raw,2dpos,onehot,NN,3,256,256,512,,0.001677024,500,0.261945607,0.000597735,0.595124327
163,8,raw,polar,onehot,NN,3,256,512,128,,0.008987073,200,0.305325536,0.000270085,0.620949488
164,8,raw,elliptic,onehot,NN,3,256,128,512,,0.001000808,500,0.2851888,0.000783531,0.61987043
165,8,addDur,raw,onehot,NN,3,256,512,256,,0.003079777,500,0.38172882,0.000958434,0.623207791
166,8,addDur,zone,onehot,NN,2,512,128,,,0.001354447,500,0.291977439,0.002559814,0.617865775
167,8,addDur,2dpos,onehot,NN,4,512,128,64,512,0.001228094,500,0.479277453,5.00E-05,0.59585256
168,8,addDur,polar,onehot,NN,2,512,256,,,0.003613954,500,0.343159739,0.000686376,0.62409712
169,8,addDur,elliptic,onehot,NN,3,256,64,128,,0.001102154,500,0.127532221,0.00071858,0.619119399
170,8,cyclic,raw,onehot,NN,3,256,512,128,,0.004047882,500,0.410696273,0.00067497,0.624811276
171,8,cyclic,zone,onehot,NN,1,512,,,,0.001047747,300,0.116405398,0.002009858,0.619246949
172,8,cyclic,2dpos,onehot,NN,2,64,256,,,0.007258166,500,0.19408966,0.000154742,0.596720068
173,8,cyclic,polar,onehot,NN,3,128,256,128,,0.011308927,500,0.133376817,0.001731504,0.620133999
174,8,cyclic,elliptic,onehot,NN,2,256,512,,,0.004121511,500,0.377524731,0.000993266,0.618965215
175,8,1dpos,raw,onehot,NN,2,256,512,,,0.006978903,500,0.441834677,0.000814712,0.517407385
176,8,1dpos,zone,onehot,NN,2,64,256,,,0.004285308,200,0.482663265,5.14E-05,0.522328975
177,8,1dpos,2dpos,onehot,NN,2,256,256,,,0.022868759,500,0.206720004,1.46E-05,0.457111643
178,8,1dpos,polar,onehot,NN,2,64,128,,,0.005374102,300,0.165938195,0.000884005,0.512092452
179,8,1dpos,elliptic,onehot,NN,2,64,512,,,0.011630504,500,0.470626388,0.000397511,0.506451271
180,9,raw,raw,onehot,NN,3,256,128,64,,0.004988507,500,0.375529967,0.000188387,0.622204593
181,9,raw,zone,onehot,NN,2,128,64,,,0.029229005,200,0.154423058,0.001844615,0.619517381
182,9,raw,2dpos,onehot,NN,2,128,256,,,0.002616741,500,0.254009121,1.11E-05,0.597221335
183,9,raw,polar,onehot,NN,3,64,256,256,,0.002763937,200,0.136629151,0.000159835,0.619568126
184,9,raw,elliptic,onehot,NN,3,512,64,64,,0.01781216,200,0.227963795,0.000547724,0.616197907
185,9,addDur,raw,onehot,NN,2,256,128,,,0.010233559,300,0.335632646,0.000278253,0.619771735
186,9,addDur,zone,onehot,NN,2,256,64,,,0.002287825,300,0.218034982,0.001318589,0.617484738
187,9,addDur,2dpos,onehot,NN,3,64,128,64,,0.00201422,500,0.076538564,0.000116554,0.597657151
188,9,addDur,polar,onehot,NN,3,128,256,256,,0.003095619,300,0.108056531,0.000633168,0.622291715
189,9,addDur,elliptic,onehot,NN,2,256,64,,,0.017864551,500,0.25921813,0.00030034,0.618691372
190,9,cyclic,raw,onehot,NN,2,512,512,,,0.03375361,500,0.135660747,0.000850019,0.619584727
191,9,cyclic,zone,onehot,NN,2,128,256,,,0.001224398,200,0.391346301,0.000188672,0.62123139
192,9,cyclic,2dpos,onehot,NN,3,64,128,512,,0.001767684,500,0.150768299,0.000322155,0.594813697
193,9,cyclic,polar,onehot,NN,2,64,64,,,0.0114925,500,0.12480745,0.000529294,0.619070964
194,9,cyclic,elliptic,onehot,NN,3,512,128,64,,0.006234406,200,0.304803637,0.000472424,0.618035508
195,9,1dpos,raw,onehot,NN,3,64,256,256,,0.015352824,500,0.208189443,0.001142841,0.514075211
196,9,1dpos,zone,onehot,NN,1,512,,,,0.004805469,500,0.476285787,0.001597211,0.519734035
197,9,1dpos,2dpos,onehot,NN,1,256,,,,0.014225064,500,0.364641615,4.77E-05,0.457542465
198,9,1dpos,polar,onehot,NN,2,512,512,,,0.005648212,500,0.450575617,0.001052866,0.512776216
199,9,1dpos,elliptic,onehot,NN,3,64,256,512,,0.0078105,500,0.298182472,0.000739247,0.513630312
200,10,raw,raw,onehot,NN,3,128,128,128,,0.008389688,500,0.34705826,0.000495687,0.625401109
201,10,raw,zone,onehot,NN,2,256,64,,,0.003408981,200,0.253511048,0.000415266,0.617804128
202,10,raw,2dpos,onehot,NN,2,256,256,,,0.003646563,500,0.490041233,1.31E-05,0.598473737
203,10,raw,polar,onehot,NN,3,64,512,512,,0.002707296,500,0.112332445,0.000766685,0.620615306
204,10,raw,elliptic,onehot,NN,3,128,64,512,,0.001353896,500,0.119860976,0.001287816,0.616513688
205,10,addDur,raw,onehot,NN,3,256,256,128,,0.006069086,500,0.448765924,0.000538555,0.623805236
206,10,addDur,zone,onehot,NN,2,64,256,,,0.004023763,200,0.479516728,1.64E-05,0.618455396
207,10,addDur,2dpos,onehot,NN,3,128,256,128,,0.002196323,500,0.414452347,8.29E-05,0.597548758
208,10,addDur,polar,onehot,NN,3,512,128,256,,0.004210461,500,0.115190103,0.001595525,0.622683419
209,10,addDur,elliptic,onehot,NN,4,512,64,256,64,0.001618269,300,0.203084579,4.29E-05,0.618369214
210,10,cyclic,raw,onehot,NN,3,64,512,128,,0.005752459,500,0.111678556,0.000896205,0.622307284
211,10,cyclic,zone,onehot,NN,3,128,256,512,,0.001496301,200,0.37462879,0.000925524,0.619710596
212,10,cyclic,2dpos,onehot,NN,1,256,,,,0.013214953,500,0.066035733,8.56E-05,0.594437226
213,10,cyclic,polar,onehot,NN,3,512,128,128,,0.004038677,200,0.149018891,0.000906167,0.621351182
214,10,cyclic,elliptic,onehot,NN,2,512,512,,,0.002560947,200,0.189895841,0.000386989,0.617216924
215,10,1dpos,raw,onehot,NN,2,256,64,,,0.013581328,500,0.229549874,0.000836461,0.510610575
216,10,1dpos,zone,onehot,NN,2,64,256,,,0.001827935,300,0.287811892,0.001022025,0.524489265
217,10,1dpos,2dpos,onehot,NN,2,512,128,,,0.002753065,500,0.290113877,0.000394729,0.458704584
218,10,1dpos,polar,onehot,NN,2,256,256,,,0.005714178,300,0.368493684,0.000803812,0.512793678
219,10,1dpos,elliptic,onehot,NN,2,64,512,,,0.006919329,500,0.382609096,0.000441471,0.511174036
220,11,raw,raw,onehot,NN,3,128,512,64,,0.014968263,500,0.190502636,0.00065339,0.623577247
221,11,raw,zone,onehot,NN,2,256,256,,,0.001984138,200,0.328288919,0.000717382,0.618253703
222,11,raw,2dpos,onehot,NN,2,256,256,,,0.005145999,500,0.427558493,2.54E-05,0.599021376
223,11,raw,polar,onehot,NN,3,256,256,64,,0.002209287,500,0.261438586,0.00079976,0.624578695
224,11,raw,elliptic,onehot,NN,3,256,256,256,,0.006244703,300,0.454992264,0.000356027,0.619776236
225,11,addDur,raw,onehot,NN,3,256,128,64,,0.005134276,500,0.34951593,0.000200999,0.623084821
226,11,addDur,zone,onehot,NN,2,128,128,,,0.001214048,300,0.237917446,0.000150474,0.618893123
227,11,addDur,2dpos,onehot,NN,3,512,64,256,,0.004073621,500,0.423009754,0.000249025,0.59809861
228,11,addDur,polar,onehot,NN,3,256,256,64,,0.005285193,500,0.430936433,2.21E-05,0.622242517
229,11,addDur,elliptic,onehot,NN,4,256,256,256,64,0.001440544,300,0.199176039,0.000626866,0.618184303
230,11,cyclic,raw,onehot,NN,3,256,512,512,,0.004951597,500,0.490255734,0.000667859,0.624662589
231,11,cyclic,zone,onehot,NN,1,256,,,,0.001394094,500,0.456297779,0.002059934,0.619026764
232,11,cyclic,2dpos,onehot,NN,2,256,512,,,0.007042197,500,0.438347086,8.75E-05,0.600267643
233,11,cyclic,polar,onehot,NN,2,256,128,,,0.015258621,300,0.198250212,0.000579374,0.621304844
234,11,cyclic,elliptic,onehot,NN,3,512,256,128,,0.00708831,300,0.310915444,0.000952768,0.621702996
235,11,1dpos,raw,onehot,NN,2,512,512,,,0.002267229,500,0.468239291,0.000984953,0.512766071
