Index,opt,timeOpt,locOpt,catOpt,modelOpt,kernel,C,class_weight,degree,coef0,gamma,obj
275,13,1dpos,raw,onehot,SV,poly,1.327788921,,3,-0.01440828,0.074720502,0.464902917
276,13,1dpos,zone,onehot,SV,poly,0.890088868,,2,0.279854295,0.167068667,0.512909471
277,13,1dpos,2dpos,onehot,SV,rbf,0.904505359,,,,0.427061896,0.440683317
278,13,1dpos,polar,onehot,SV,rbf,2.904310876,,,,0.738841931,0.445210794
279,13,1dpos,elliptic,onehot,SV,rbf,2.206249663,,,,0.195660409,0.469863079
280,14,raw,raw,onehot,SV,rbf,0.864884677,,,,0.555799518,0.607818651
281,14,raw,zone,onehot,SV,linear,0.003141181,balanced,,,,0.577487515
282,14,raw,2dpos,onehot,SV,poly,0.877391081,,3,-0.167522016,0.65963969,0.584732213
283,14,raw,polar,onehot,SV,rbf,1.195816104,,,,0.370342311,0.613704529
284,14,raw,elliptic,onehot,SV,rbf,1.255962801,,,,0.401287408,0.613355651
285,14,addDur,raw,onehot,SV,rbf,1.277564291,,,,0.554941302,0.607212007
286,14,addDur,zone,onehot,SV,rbf,5.097291542,,,,0.031184883,0.61379563
287,14,addDur,2dpos,onehot,SV,rbf,3.43150006,,,,0.368441483,0.583130249
288,14,addDur,polar,onehot,SV,rbf,0.991120936,,,,0.467186831,0.614204111
289,14,addDur,elliptic,onehot,SV,poly,0.002037343,,3,-0.854583948,0.665788148,0.601679472
290,14,cyclic,raw,onehot,SV,rbf,1.295379769,,,,0.48891741,0.606468102
291,14,cyclic,zone,onehot,SV,poly,0.273717275,,3,0.03463954,0.09711987,0.611078482
292,14,cyclic,2dpos,onehot,SV,poly,3.663763104,,3,0.462482712,0.524839171,0.584055028
293,14,cyclic,polar,onehot,SV,rbf,1.754478025,,,,0.249184212,0.613081081
294,14,cyclic,elliptic,onehot,SV,poly,0.028954833,,3,0.388614646,0.679827351,0.604397337
295,14,1dpos,raw,onehot,SV,rbf,1.722354049,,,,0.118915594,0.472580967
296,14,1dpos,zone,onehot,SV,poly,1.645814238,,3,0.920962367,0.041998268,0.515615033
