Index,opt,timeOpt,locOpt,catOpt,modelOpt,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,obj
99,4,1dpos,elliptic,onehot,XG,13,0.054376053,225,0.957724681,0.680233836,0.567000393
100,5,raw,raw,onehot,XG,14,0.014525458,219,0.921455034,0.600054654,0.653468455
101,5,raw,zone,onehot,XG,5,0.113928793,179,0.827822096,0.752225564,0.618105353
102,5,raw,2dpos,onehot,XG,9,0.07695293,163,0.612636553,0.637083094,0.651132351
103,5,raw,polar,onehot,XG,11,0.051873461,212,0.738445871,0.60135844,0.646852364
104,5,raw,elliptic,onehot,XG,10,0.033857046,246,0.980658184,0.713987512,0.64820786
105,5,addDur,raw,onehot,XG,11,0.057619199,214,0.912648908,0.717616304,0.653414571
106,5,addDur,zone,onehot,XG,4,0.087623627,207,0.658231641,0.610566129,0.618871095
107,5,addDur,2dpos,onehot,XG,12,0.016113949,282,0.683898149,0.611998398,0.652636661
108,5,addDur,polar,onehot,XG,9,0.051094686,190,0.970625943,0.856686841,0.647396532
109,5,addDur,elliptic,onehot,XG,15,0.012579509,266,0.816876294,0.776932378,0.644278939
110,5,cyclic,raw,onehot,XG,10,0.027066235,289,0.707490577,0.653210599,0.64928462
111,5,cyclic,zone,onehot,XG,6,0.108542231,87,0.896833892,0.684834958,0.616751481
112,5,cyclic,2dpos,onehot,XG,15,0.01229893,237,0.612713588,0.60098655,0.651799871
113,5,cyclic,polar,onehot,XG,9,0.020138381,295,0.75260918,0.877000074,0.644467395
114,5,cyclic,elliptic,onehot,XG,11,0.018228576,283,0.920718565,0.865281229,0.646001248
115,5,1dpos,raw,onehot,XG,8,0.066870729,300,0.838193136,0.690277465,0.574845233
116,5,1dpos,zone,onehot,XG,11,0.090343391,227,0.752869578,0.600249134,0.546234984
117,5,1dpos,2dpos,onehot,XG,11,0.039595715,274,0.917866936,0.770213215,0.577614111
118,5,1dpos,polar,onehot,XG,9,0.047708512,273,0.957841955,0.712960571,0.569844868
119,5,1dpos,elliptic,onehot,XG,10,0.103587987,232,0.939295588,0.623001207,0.566567142
120,6,raw,raw,onehot,XG,13,0.033995209,189,0.999751391,0.634396775,0.655147395
121,6,raw,zone,onehot,XG,4,0.045801493,282,0.820052797,0.971512294,0.617640926
122,6,raw,2dpos,onehot,XG,14,0.015593013,227,0.791566961,0.619245101,0.656344226
123,6,raw,polar,onehot,XG,10,0.040097907,228,0.847671034,0.621625541,0.647614455
124,6,raw,elliptic,onehot,XG,10,0.047098575,197,0.904822315,0.796041372,0.647273593
125,6,addDur,raw,onehot,XG,12,0.025235639,284,0.805028504,0.608684847,0.651527639
126,6,addDur,zone,onehot,XG,14,0.012691379,285,0.897101782,0.608403165,0.617434776
127,6,addDur,2dpos,onehot,XG,8,0.065547984,285,0.833217765,0.600395153,0.650264079
128,6,addDur,polar,onehot,XG,9,0.045948662,204,0.755328554,0.848851675,0.64664937
129,6,addDur,elliptic,onehot,XG,14,0.010058366,285,0.798401921,0.722879322,0.644125358
130,6,cyclic,raw,onehot,XG,12,0.030589974,186,0.671859457,0.636580248,0.648503113
131,6,cyclic,zone,onehot,XG,6,0.027893728,280,0.648872827,0.609412352,0.615735283
132,6,cyclic,2dpos,onehot,XG,13,0.0199715,194,0.669752401,0.622299142,0.651751012
133,6,cyclic,polar,onehot,XG,11,0.029148603,263,0.805079695,0.752851616,0.644787416
134,6,cyclic,elliptic,onehot,XG,12,0.026472124,200,0.962764739,0.600395251,0.645735309
135,6,1dpos,raw,onehot,XG,12,0.036937277,256,0.922186463,0.816787716,0.573118444
136,6,1dpos,zone,onehot,XG,11,0.052888768,266,0.626276765,0.643756311,0.544701735
137,6,1dpos,2dpos,onehot,XG,11,0.04174352,220,0.926717825,0.664669969,0.572699519
138,6,1dpos,polar,onehot,XG,12,0.039517592,294,0.958252677,0.61004754,0.569687563
139,6,1dpos,elliptic,onehot,XG,12,0.049659488,204,0.749575365,0.653227636,0.566989504
140,7,raw,raw,onehot,XG,14,0.017244916,206,0.764984673,0.600271803,0.653520236
141,7,raw,zone,onehot,XG,6,0.074881605,122,0.792862673,0.847089757,0.619802425
142,7,raw,2dpos,onehot,XG,14,0.016067375,193,0.647680998,0.618928087,0.654486511
143,7,raw,polar,onehot,XG,12,0.021810405,296,0.935226515,0.600409188,0.647537828
144,7,raw,elliptic,onehot,XG,10,0.044736541,265,0.998136534,0.610135873,0.647729542
145,7,addDur,raw,onehot,XG,9,0.037609516,235,0.90299227,0.767635783,0.650330991
146,7,addDur,zone,onehot,XG,14,0.02716522,260,0.662481348,0.618285912,0.618866994
147,7,addDur,2dpos,onehot,XG,13,0.031534154,226,0.619661533,0.626785971,0.653743642
148,7,addDur,polar,onehot,XG,11,0.032158166,237,0.894809582,0.610395441,0.647053897
149,7,addDur,elliptic,onehot,XG,10,0.037423893,293,0.939423856,0.749834928,0.644646681
150,7,cyclic,raw,onehot,XG,12,0.021642922,258,0.80690505,0.644690992,0.651766868
151,7,cyclic,zone,onehot,XG,3,0.058539302,201,0.878366791,0.659959687,0.615285491
152,7,cyclic,2dpos,onehot,XG,9,0.048564176,141,0.686975497,0.61338455,0.65184773
153,7,cyclic,polar,onehot,XG,11,0.032616872,300,0.887591643,0.627993618,0.644243041
154,7,cyclic,elliptic,onehot,XG,10,0.048581445,242,0.696591855,0.841372512,0.646379846
155,7,1dpos,raw,onehot,XG,10,0.037240014,300,0.916081494,0.997085981,0.572774541
156,7,1dpos,zone,onehot,XG,7,0.1060057,297,0.949837642,0.861037382,0.544310334
157,7,1dpos,2dpos,onehot,XG,8,0.076583873,274,0.90087853,0.74077664,0.57555273
