Index,opt,timeOpt,locOpt,catOpt,modelOpt,iterations,learning_rate,depth,l2_leaf_reg,border_count,auto_class_weights,obj
229,11,addDur,elliptic,catboost,CB,700,0.0707391,7,0.297290122,79,,0.633794527
230,11,cyclic,raw,catboost,CB,200,0.238320798,6,4.191047316,82,,0.638332187
231,11,cyclic,zone,catboost,CB,200,0.123364882,3,0.115772308,78,,0.615417477
232,11,cyclic,2dpos,catboost,CB,800,0.071234319,6,1.279127624,103,,0.641493635
233,11,cyclic,polar,catboost,CB,800,0.041372524,8,0.101790917,101,,0.634025237
234,11,cyclic,elliptic,catboost,CB,800,0.078601027,5,4.752316642,69,,0.632262839
235,11,1dpos,raw,catboost,CB,800,0.033549543,9,0.860354667,122,,0.553918025
236,11,1dpos,zone,catboost,CB,500,0.026985189,8,0.352861946,97,,0.523555462
237,11,1dpos,2dpos,catboost,CB,800,0.149546781,5,2.730412817,117,,0.5538087
238,11,1dpos,polar,catboost,CB,800,0.178773008,3,2.312153648,117,,0.544329661
239,11,1dpos,elliptic,catboost,CB,800,0.069969401,7,0.429158236,120,,0.546904023
240,12,raw,raw,catboost,CB,700,0.052473005,8,0.133756251,56,,0.644126677
241,12,raw,zone,catboost,CB,600,0.006239328,7,0.932855822,53,,0.619539668
242,12,raw,2dpos,catboost,CB,300,0.129076508,8,1.33682168,72,,0.63739856
243,12,raw,polar,catboost,CB,400,0.193363047,7,4.481429122,43,,0.635019652
244,12,raw,elliptic,catboost,CB,800,0.080060912,6,2.456823225,68,,0.633086371
245,12,addDur,raw,catboost,CB,500,0.065049557,8,0.92142267,98,,0.638964641
246,12,addDur,zone,catboost,CB,300,0.011986594,9,1.096318085,61,,0.621137053
247,12,addDur,2dpos,catboost,CB,800,0.07416508,5,0.464223296,99,,0.64010876
248,12,addDur,polar,catboost,CB,700,0.182124049,6,7.081474456,107,,0.637776182
249,12,addDur,elliptic,catboost,CB,700,0.051646938,7,1.822265857,88,,0.630329079
250,12,cyclic,raw,catboost,CB,800,0.054790397,7,1.549291304,115,,0.639587732
251,12,cyclic,zone,catboost,CB,800,0.008336462,9,6.902337914,71,,0.620972678
