sid,aid,routes,month,dow,dep,arr,nTrans,tway,OriLat,OriLon,DesLat,DesLon,OriZone,DesZone,oppo,typeD,nwDist,eucDist,caruse
216,,122,4,Tuesday,498.5,509.5,0,0,44.978986,-93.235429,44.970998,-93.245561,Univ of Minnesota,Univ of Minnesota,0,Ed,0.741646512,0.741644668,0
217,,122,4,Tuesday,526.5,533.5,0,0,44.980616,-93.239529,44.976759,-93.229845,Univ of Minnesota,Univ of Minnesota,0,Ed,0.543341175,0.543339825,0
218,,122,4,Tuesday,488.5,500.5,0,0,44.980616,-93.239529,44.970998,-93.245561,Univ of Minnesota,Univ of Minnesota,1,Ed,0.727050468,0.727048661,0
219,,122,4,Tuesday,487.5,493.5,0,0,44.978986,-93.235429,44.976759,-93.229845,Univ of Minnesota,Univ of Minnesota,0,O,0.313402822,0.313402043,0
220,,122,4,Tuesday,517.5,529.5,0,0,44.980616,-93.239529,44.970998,-93.245561,Univ of Minnesota,Univ of Minnesota,1,Ed,0.727050468,0.727048661,0
221,,122,4,Tuesday,540.5,551.5,0,0,44.978986,-93.235429,44.970998,-93.245561,Univ of Minnesota,Univ of Minnesota,0,Ed,0.741646512,0.741644668,0
222,,122,4,Tuesday,554,560,0,0,44.980616,-93.239529,44.978986,-93.235429,Univ of Minnesota,Univ of Minnesota,0,Sh,0.229938474,0.229937902,0
224,,122,4,Tuesday,555,565,0,0,44.980616,-93.239529,44.972534,-93.243642,Univ of Minnesota,Univ of Minnesota,0,W,0.593523179,0.593521703,0
226,,122,4,Tuesday,543.5,551.5,0,0,44.973746,-93.235586,44.970998,-93.245561,Univ of Minnesota,Univ of Minnesota,0,Ed,0.52338094,0.523379639,0
227,,122,4,Tuesday,575,584,0,0,44.970998,-93.245561,44.978986,-93.235429,Univ of Minnesota,Univ of Minnesota,0,Home,0.741646512,0.741644668,0
228,,122,4,Tuesday,544,554,0,0,44.970998,-93.245561,44.976759,-93.229845,Univ of Minnesota,Univ of Minnesota,0,Ed,0.865407744,0.865405593,0
229,,122,4,Tuesday,549,561,0,0,44.980616,-93.239529,44.970998,-93.245561,Univ of Minnesota,Univ of Minnesota,1,Ed,0.727050468,0.727048661,0
230,,122,4,Tuesday,558,567,0,0,44.980616,-93.239529,44.973746,-93.235586,Univ of Minnesota,Univ of Minnesota,0,W,0.512331357,0.512330083,0
231,,122,4,Tuesday,551,561,0,0,44.976759,-93.229845,44.970998,-93.245561,Univ of Minnesota,Univ of Minnesota,0,Ed,0.865407744,0.865405593,0
232,,122,4,Tuesday,550,556,0,0,44.973746,-93.235586,44.972534,-93.243642,Univ of Minnesota,Univ of Minnesota,0,Ed,0.402700565,0.402699564,0
233,,122,4,Tuesday,583,592,0,0,44.970998,-93.245561,44.978986,-93.235429,Univ of Minnesota,Univ of Minnesota,0,Ed,0.741646512,0.741644668,0
234,,122,4,Tuesday,583,593,0,0,44.970998,-93.245561,44.976759,-93.229845,Univ of Minnesota,Univ of Minnesota,1,Ed,0.865407744,0.865405593,0
235,,122,4,Tuesday,539.5,550.5,0,0,44.978986,-93.235429,44.970998,-93.245561,Univ of Minnesota,Univ of Minnesota,0,Ed,0.741646512,0.741644668,0
236,,122,4,Tuesday,601,612,0,0,44.978986,-93.235429,44.970998,-93.245561,Univ of Minnesota,Univ of Minnesota,0,Ed,0.741646512,0.741644668,0
238,,122,4,Tuesday,633.5,641.5,0,0,44.970998,-93.245561,44.980616,-93.239529,Univ of Minnesota,Univ of Minnesota,0,Home,0.727050468,0.727048661,0
239,,122,4,Tuesday,626,635,0,0,44.970998,-93.245561,44.978986,-93.235429,Univ of Minnesota,Univ of Minnesota,0,Home,0.741646512,0.741644668,0
240,,122,4,Tuesday,608,617,0,0,44.980616,-93.239529,44.973746,-93.235586,Univ of Minnesota,Univ of Minnesota,0,Ed,0.512331357,0.512330083,0
241,,122,4,Tuesday,605,612,0,0,44.976759,-93.229845,44.973746,-93.235586,Univ of Minnesota,Univ of Minnesota,0,Ed,0.349476966,0.349476097,0
242,,122,4,Tuesday,606.5,615.5,0,0,44.980616,-93.239529,44.973746,-93.235586,Univ of Minnesota,Univ of Minnesota,1,Ed,0.512331357,0.512330083,0
243,,122,4,Tuesday,610.5,616.5,0,0,44.973746,-93.235586,44.972534,-93.243642,Univ of Minnesota,Univ of Minnesota,1,Ed,0.402700565,0.402699564,0
244,,122,4,Tuesday,633.5,642.5,0,0,44.970998,-93.245561,44.978986,-93.235429,Univ of Minnesota,Univ of Minnesota,1,Home,0.741646512,0.741644668,0
245,,122,4,Tuesday,606.5,613.5,0,0,44.980616,-93.239529,44.976759,-93.229845,Univ of Minnesota,Univ of Minnesota,0,Ed,0.543341175,0.543339825,0
246,,122,4,Tuesday,609,621,0,0,44.980616,-93.239529,44.970998,-93.245561,Univ of Minnesota,Univ of Minnesota,1,Ed,0.727050468,0.727048661,0
247,,122,4,Tuesday,610,622,0,0,44.980616,-93.239529,44.970998,-93.245561,Univ of Minnesota,Univ of Minnesota,1,Ed,0.727050468,0.727048661,0
249,,122,4,Tuesday,694.5,703.5,0,0,44.970998,-93.245561,44.978986,-93.235429,Univ of Minnesota,Univ of Minnesota,0,Home,0.741646512,0.741644668,0
250,,122,4,Tuesday,663,672,0,0,44.970998,-93.245561,44.978986,-93.235429,Univ of Minnesota,Univ of Minnesota,1,Ed,0.741646512,0.741644668,0
253,,122,4,Tuesday,663.5,671.5,0,0,44.978986,-93.235429,44.973746,-93.235586,Univ of Minnesota,Univ of Minnesota,0,Ed,0.362131791,0.362130891,0
254,,122,4,Tuesday,671,677,0,0,44.973746,-93.235586,44.972534,-93.243642,Univ of Minnesota,Univ of Minnesota,1,Ed,0.402700565,0.402699564,0
255,,122,4,Tuesday,663.5,671.5,0,0,44.970998,-93.245561,44.980616,-93.239529,Univ of Minnesota,Univ of Minnesota,0,Home,0.727050468,0.727048661,0
256,,122,4,Tuesday,706.5,713.5,0,0,44.980616,-93.239529,44.975235,-93.226948,Univ of Minnesota,Univ of Minnesota,0,W,0.718773479,0.718771692,0
257,,122,4,Tuesday,660.5,670.5,0,0,44.975235,-93.226948,44.970998,-93.245561,Univ of Minnesota,Univ of Minnesota,0,Ed,0.956007028,0.956004651,0
259,,122,4,Tuesday,846.5,852.5,0,0,44.973746,-93.235586,44.972534,-93.243642,Univ of Minnesota,Univ of Minnesota,0,Home,0.402700565,0.402699564,0
261,,122,4,Tuesday,845,854,0,0,44.970998,-93.245561,44.978986,-93.235429,Univ of Minnesota,Univ of Minnesota,0,Home,0.741646512,0.741644668,0
262,,122,4,Tuesday,852,861,0,0,44.980616,-93.239529,44.973746,-93.235586,Univ of Minnesota,Univ of Minnesota,0,Ed,0.512331357,0.512330083,0
263,,122,4,Tuesday,842.5,848.5,0,0,44.978986,-93.235429,44.975235,-93.226948,Univ of Minnesota,Univ of Minnesota,0,Home,0.489005826,0.48900461,0
264,,122,4,Tuesday,838.5,846.5,0,0,44.978986,-93.235429,44.973746,-93.235586,Univ of Minnesota,Univ of Minnesota,1,Ed,0.362131791,0.362130891,0
265,,122,4,Tuesday,844.5,852.5,0,0,44.973746,-93.235586,44.970998,-93.245561,Univ of Minnesota,Univ of Minnesota,0,Ed,0.52338094,0.523379639,0
266,,122,4,Tuesday,840.5,850.5,0,0,44.976759,-93.229845,44.970998,-93.245561,Univ of Minnesota,Univ of Minnesota,0,Home,0.865407744,0.865405593,0
267,,122,4,Tuesday,846,855,0,0,44.970998,-93.245561,44.978986,-93.235429,Univ of Minnesota,Univ of Minnesota,0,Home,0.741646512,0.741644668,0
268,,122,4,Tuesday,848,857,0,0,44.970998,-93.245561,44.978986,-93.235429,Univ of Minnesota,Univ of Minnesota,0,Home,0.741646512,0.741644668,0
269,,122,4,Tuesday,850.5,859.5,0,0,44.980616,-93.239529,44.973746,-93.235586,Univ of Minnesota,Univ of Minnesota,0,Ed,0.512331357,0.512330083,0
270,,122,4,Tuesday,851.5,860.5,0,0,44.980616,-93.239529,44.973746,-93.235586,Univ of Minnesota,Univ of Minnesota,1,So,0.512331357,0.512330083,0
271,,122,4,Tuesday,841,852,0,0,44.978986,-93.235429,44.970998,-93.245561,Univ of Minnesota,Univ of Minnesota,0,Home,0.741646512,0.741644668,0
