globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom
538,0,cyclic,polar,WTE,XG,,
539,0,cyclic,polar,onehot,XG,,
540,0,cyclic,raw,5FTE,XG,,
541,0,cyclic,raw,WTE,XG,,
542,0,cyclic,raw,onehot,XG,,
543,0,cyclic,zone,5FTE,XG,,
544,0,cyclic,zone,WTE,XG,,
545,0,cyclic,zone,onehot,XG,,
546,0,raw,2dpos,5FTE,XG,8,2500
547,0,raw,2dpos,5FTE,XG,8,5000
548,0,raw,2dpos,5FTE,XG,8,10000
549,0,raw,2dpos,5FTE,XG,16,2500
550,0,raw,2dpos,5FTE,XG,16,5000
551,0,raw,2dpos,5FTE,XG,16,10000
552,0,raw,2dpos,5FTE,XG,24,2500
553,0,raw,2dpos,5FTE,XG,24,5000
554,0,raw,2dpos,5FTE,XG,24,10000
555,0,raw,2dpos,WTE,XG,8,2500
556,0,raw,2dpos,WTE,XG,8,5000
557,0,raw,2dpos,WTE,XG,8,10000
558,0,raw,2dpos,WTE,XG,16,2500
559,0,raw,2dpos,WTE,XG,16,5000
560,0,raw,2dpos,WTE,XG,16,10000
561,0,raw,2dpos,WTE,XG,24,2500
562,0,raw,2dpos,WTE,XG,24,5000
563,0,raw,2dpos,WTE,XG,24,10000
564,0,raw,2dpos,onehot,XG,8,2500
565,0,raw,2dpos,onehot,XG,8,5000
