Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,n_layers,n_units_layer_0,n_units_layer_1,n_units_layer_2,lrate,nEpoch,dropout_prob,weight_decay,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
80,860,0,raw,2dpos,5FTE,NN,8,10000,3,256,512,512,0.001462773,300,0.499990611,0.000519145,0.609282467,0.009047497,0.621506227,0.001189295,0.590709626,0.00734249,5.14,9.4,0.622652698,0.637059735,0.555564341
81,861,0,raw,2dpos,5FTE,NN,16,2500,1,512,,,0.00106355,500,0.411519053,0.000979105,0.613457205,0.0091734,0.623166634,0.001079055,0.592488634,0.007213646,4.9,10,0.625024708,0.637987525,0.561889702
82,862,0,raw,2dpos,5FTE,NN,16,5000,1,512,,,0.054861711,500,0.464059165,0.000728873,0.612955129,0.008330744,0.625973513,0.001742392,0.597193121,0.004910755,3.62,9.8,0.628187389,0.631454769,0.558568887
83,863,0,raw,2dpos,5FTE,NN,16,10000,3,512,512,128,0.001350807,300,0.371217197,0.000840276,0.612690255,0.009520594,0.623957304,0.002225845,0.592844436,0.009756449,4.22,11.6,0.627792054,0.635394459,0.557461949
84,864,0,raw,2dpos,5FTE,NN,24,2500,1,512,,,0.001035383,200,0.228417183,3.44E-05,0.61146867,0.013913912,0.626131647,0.001919513,0.579007709,0.019589241,4.4,9.6,0.629175726,0.621399748,0.553231864
85,865,0,raw,2dpos,5FTE,NN,24,5000,1,256,,,0.001496976,500,0.466673189,0.000146307,0.60691441,0.024306164,0.622178296,0.001182706,0.565724451,0.065895516,2.98,8.2,0.624036371,0.635868323,0.557303815
86,866,0,raw,2dpos,5FTE,NN,24,10000,2,128,512,,0.00455015,400,0.39850631,3.08E-05,0.608064835,0.012095059,0.621269025,0.001194213,0.579363511,0.015233229,3.22,7.6,0.622652698,0.626611306,0.553429532
87,867,0,raw,2dpos,WTE,NN,8,2500,2,256,512,,0.011825309,300,0.367390167,0.000128317,0.602035975,0.009073854,0.617197075,0.003164533,0.584898201,0.005665511,3.48,7.4,0.621071358,0.639674173,0.550622653
88,868,0,raw,2dpos,WTE,NN,8,5000,2,512,512,,0.00453539,300,0.471830429,0.000114552,0.607938328,0.009334699,0.620280688,0.001340646,0.590116624,0.004749371,4.92,10,0.622257363,0.637816227,0.556355011
89,869,0,raw,2dpos,WTE,NN,8,10000,2,512,512,,0.003193559,400,0.445618412,0.000426767,0.607756474,0.010406292,0.619569085,0.001502793,0.585372603,0.011232839,5.38,9.4,0.621664361,0.635691764,0.554457403
90,870,0,raw,2dpos,WTE,NN,16,2500,3,128,128,128,0.003079827,200,0.329405577,0.000100739,0.613287211,0.006810493,0.622771299,0.001873154,0.598734928,0.003409407,3,6.6,0.625420043,0.63195772,0.55690848
91,871,0,raw,2dpos,WTE,NN,16,5000,3,512,128,128,0.001532128,200,0.461101089,2.25E-05,0.613559992,0.010303429,0.627317652,0.001032801,0.59300257,0.01060519,3.16,8.6,0.628385056,0.633794195,0.556987547
92,872,0,raw,2dpos,WTE,NN,16,10000,2,256,128,,0.001035295,400,0.328358336,1.05E-05,0.611705871,0.013219461,0.624985175,0.001095228,0.586519075,0.024940362,3.38,10.6,0.626606049,0.630252558,0.554299269
93,873,0,raw,2dpos,WTE,NN,24,2500,3,512,128,128,0.001412829,300,0.496930986,3.65E-05,0.611923305,0.009613945,0.623878237,0.001792137,0.589444554,0.006186393,3.26,6.8,0.625815379,0.625383547,0.553152797
94,874,0,raw,2dpos,WTE,NN,24,5000,1,512,,,0.002599781,200,0.389532464,1.34E-05,0.611618897,0.009625604,0.622613165,0.001764674,0.591025894,0.002833618,2.4,5.4,0.624827041,0.625103069,0.554773671
95,875,0,raw,2dpos,WTE,NN,24,10000,3,128,256,128,0.001021345,500,0.459278468,8.73E-05,0.612310733,0.008120777,0.626329314,0.002873327,0.596402451,0.004151959,3.4,9.8,0.629571061,0.623072249,0.55307373
96,876,0,raw,2dpos,onehot,NN,8,2500,2,512,512,,0.001012307,300,0.448375831,0.000161507,0.608685511,0.00863024,0.619885353,0.001226495,0.590788693,0.005505316,5.62,11.6,0.621862028,0.636089702,0.556789879
97,877,0,raw,2dpos,onehot,NN,8,5000,1,512,,,0.039833538,300,0.237782189,0.000565182,0.602826646,0.010352167,0.617236608,0.003900116,0.582368057,0.004896811,3.04,9.6,0.623838703,0.637185649,0.553706266
98,878,0,raw,2dpos,onehot,NN,8,10000,3,128,512,128,0.001543991,200,0.330214416,6.45E-05,0.604744021,0.01033511,0.619094683,0.001550147,0.58307966,0.005138215,4.44,9.8,0.620676023,0.632579852,0.55465507
99,879,0,raw,2dpos,onehot,NN,16,2500,2,256,256,,0.001282735,500,0.414301084,0.000309293,0.612302827,0.014646996,0.624866574,0.002022594,0.580391382,0.029593542,3.14,8.4,0.628187389,0.640911178,0.560545562
100,880,0,raw,2dpos,onehot,NN,16,5000,2,256,512,,0.006098426,200,0.466507739,7.32E-05,0.613718126,0.009371941,0.625222376,0.001036577,0.594307175,0.005654466,2.34,6.8,0.626606049,0.638591176,0.561692034
101,881,0,raw,2dpos,onehot,NN,16,10000,2,256,512,,0.00224058,400,0.496941159,2.61E-05,0.615117612,0.010382501,0.628385056,0.001445813,0.59312117,0.002973566,4.28,9.2,0.630164064,0.634529684,0.561494366
102,882,0,raw,2dpos,onehot,NN,24,2500,3,256,512,128,0.001300192,500,0.498710848,0.000589678,0.614085788,0.008444276,0.627396719,0.003116008,0.598774461,0.001002079,4.02,9.8,0.630559399,0.629738744,0.55769915
103,883,0,raw,2dpos,onehot,NN,24,5000,1,512,,,0.001547586,200,0.310098502,0.000483281,0.614239968,0.009580887,0.625775845,0.001104111,0.5923305,0.003006236,2.22,7.6,0.627001384,0.634283234,0.563154774
104,884,0,raw,2dpos,onehot,NN,24,10000,1,256,,,0.003024234,200,0.499792152,2.17E-05,0.614793437,0.008957487,0.627278118,0.000586377,0.598023325,0.004703906,2.54,7.6,0.628187389,0.633602809,0.56299664
105,885,0,raw,elliptic,5FTE,NN,,,3,512,256,256,0.001585646,300,0.24103175,0.000160412,0.60539237,0.014048361,0.619569085,0.003362092,0.571140542,0.010694708,4.68,8.6,0.623443368,0.648073345,0.555564341
106,886,0,raw,elliptic,WTE,NN,,,2,512,512,,0.003489262,400,0.130910324,0.000210649,0.606610002,0.011057371,0.621822495,0.002775804,0.581102985,0.007075283,5.78,12.6,0.626210714,0.648830715,0.554813204
107,887,0,raw,elliptic,onehot,NN,,,3,128,128,512,0.007010726,400,0.404407669,0.000104747,0.602051789,0.015569084,0.617157541,0.002567396,0.565408183,0.024155748,4.66,7.8,0.620676023,0.648711988,0.554022534
108,888,0,raw,polar,5FTE,NN,,,3,512,128,256,0.004146231,500,0.367373008,0.000990052,0.605827239,0.013305963,0.620834157,0.001913397,0.577426369,0.005685132,5.8,11.6,0.623641036,0.650204007,0.565447717
109,889,0,raw,polar,WTE,NN,,,2,512,512,,0.008586829,300,0.181167597,0.000124888,0.605665151,0.011691946,0.61838308,0.00067901,0.579403044,0.014110332,4.96,12.8,0.61929235,0.646664907,0.560545562
110,890,0,raw,polar,onehot,NN,,,3,256,512,512,0.002502547,400,0.376558002,0.000370947,0.605186796,0.009686471,0.618857482,0.003487025,0.584661,0.005239867,4.78,11.2,0.624827041,0.64769327,0.560268828
