Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,C,penalty,class_weight,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
55,1069,0,cyclic,2dpos,WTE,LR,24.0,5000.0,0.3487569451838609,l2,balanced,0.5628819924886342,0.0628564442327847,0.5821703894050209,8.839960377543491e-05,0.4135204585886539,0.1313384302302764,0.0,0.0,0.5823285234236015,0.6435776172634355,0.5252026092113065
188,1202,1,cyclic,polar,onehot,LR,,,2.5568811100640567,l1,balanced,0.5349792449100613,0.0456224251920401,0.5469855702708044,8.839960377548457e-05,0.4364103577782171,0.1095025806138609,0.0,0.0,0.5471437042893853,0.6352765942792137,0.4964222178296106
189,1203,1,cyclic,raw,5FTE,LR,,,19.79706026190348,l2,,0.5363391974698557,0.015132608148433,0.5410160110693814,0.0002420922853116,0.5011267048823879,0.0328507129304104,0.0,0.0,0.5414113461158332,0.6357449286134935,0.4915200632536075
190,1204,1,cyclic,raw,WTE,LR,,,49.33932003143215,l2,balanced,0.5381300652302827,0.0084707122285048,0.5408578770508006,0.0001653805152271,0.5197074520656256,0.0201210586812196,0.0,0.0,0.5410160110693814,0.635535490009467,0.4915200632536075
56,1070,0,cyclic,2dpos,WTE,LR,24.0,10000.0,2193.0078840668334,l2,balanced,0.5637635896422217,0.0551347397206019,0.5824075904328919,0.000618797226428,0.423720102787112,0.0980882736437548,0.06,0.6,0.5833168610397311,0.6430022885855984,0.5251235422020162
191,1205,1,cyclic,raw,onehot,LR,,,34.877603168953726,l2,balanced,0.5377110100810437,0.0111189063826105,0.5409764775647361,0.0001653805152271,0.5152006325360744,0.0284100565993535,0.0,0.0,0.5412136785926073,0.6357562723001917,0.4911642617118008
57,1071,0,cyclic,2dpos,onehot,LR,8.0,2500.0,1.0823817001179776,l1,,0.5541292745601898,0.0370341313914447,0.5652105159122355,0.0002253756523224,0.477683336627792,0.0923008494412045,0.0,0.0,0.5655267839493971,0.6389934812533825,0.5102984779600712
192,1206,1,cyclic,zone,5FTE,LR,,,7.84824955201289,l1,,0.5776951966791856,0.0146127338435908,0.5821703894050209,0.000257726918569,0.5463135006918363,0.0352667335932015,0.0,0.0,0.5825261909468274,0.6400947597445877,0.5258746787902748
58,1072,0,cyclic,2dpos,onehot,LR,8.0,5000.0,43.16816307741112,l2,balanced,0.5540660209527575,0.0391346139889181,0.5643803123146867,0.0004285329786257,0.4688673650919154,0.0931433616117453,0.0,0.0,0.5651314489029452,0.6383287998302369,0.5093101403439415
193,1207,1,cyclic,zone,WTE,LR,,,106.43909535489011,l2,,0.5786795809448507,0.0233216637232546,0.5857284048230876,8.839960377543491e-05,0.520853923700336,0.0448515842641033,0.0,0.0,0.5858865388416683,0.641533128525546,0.5299070962640837
